shamdelay,shamresponses,SEMshamdelay,SEMshamresponses,AcbCdelay,AcbCresponses,SEMAcbCdelay,SEMAcbCresponses
2.127342404,2.640707575,0.39544065,0.09574035,2.307076027,3.015727056,0.388768591,0.074313589
9.483373029,2.276906887,0.482621484,0.07223806,11.6802601,1.977224521,0.598924874,0.122870661
15.81226692,1.956931015,1.05142799,0.076768982,20.93676614,1.400463455,1.815259959,0.113135132
