time,rnk,cores,mode,uw,ov,ovm,overhead,ov,exp,mode,distrib
0.072294,0,1,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.078604,0,1,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.07275,0,1,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench,uniform
0.04657,0,1,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.047547,0,1,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.047625,0,1,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.0458,0,1,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.046319,0,1,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.044306,0,1,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.046635,0,1,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.045767,0,1,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.046548,0,1,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.047357,0,1,2,40,80,2,80,80,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.046571,0,2,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.042719,0,2,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.042795,0,2,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.043352,0,2,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.036829,0,2,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.039216,0,2,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.044802,0,2,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.0395,0,2,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.041143,0,2,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.032691,0,2,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench,uniform
0.038757,0,2,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.03272,0,2,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.034605,0,2,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.03834,0,2,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.032456,0,2,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.033983,0,2,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.037002,0,2,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.037456,0,2,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.032996,0,2,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.034252,0,2,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.069448,0,2,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.074991,0,2,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.053142,0,2,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.070998,0,2,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.050178,0,2,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.067545,0,2,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.053203,0,2,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.067677,0,2,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.072015,0,2,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.065828,0,2,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.04163,0,2,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.038098,0,2,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.040317,0,2,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.041437,0,2,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.038669,0,2,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.04256,0,2,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.041328,0,2,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.038746,0,2,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.039328,0,2,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.041686,0,2,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.090869,0,2,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.069971,0,2,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.07389,0,2,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.097159,0,2,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.079067,0,2,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.09159,0,2,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.101224,0,2,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.107176,0,2,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.094776,0,2,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.106752,0,2,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.04412,0,2,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.045375,0,2,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.045379,0,2,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.043083,0,2,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.043303,0,2,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.043003,0,2,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.045186,0,2,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.044875,0,2,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.04339,0,2,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
